Emotion,URLs
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOl9F8ab8TE8pcyQk2-0fNTyZ6AVGORe-CpQ3qEpnlfFHxbg29OaI-Qrmumw&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAG_FR9AemsR23IOn82fo2c_lsUt3W34hWJKQ8T6mGs2jJQTIqPm_7XA8b6DE&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVCXfE7zcPsocdwZQ7kwoOCjQ6PokYArBd0aF76pCodkmvw_aFOjsCcsLN3Ks&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_hI9kCekWvl3X_e1Z4YnKLP6FiZfI15HfyOvGOXRM18oGV9ny4p3OzjSaUg&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1rl_N2lmLoAjgQBjZUFmYu8SBwk43tm6T2olKJD5wZ-qetLlPN_3yVmM-vQ&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLUXyrV549rZWWuFoRMFjyP7iwQTLdLbZPTXxOAGd65WFxFBOAED7wFCT9sQ&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSem3M1U-cvmfJ01lxbj7s9EWWnE4xj-JcDromTv8tRUtN0l2PFZBNoKZN99w&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWYVbQg7rE363j6kllXbmwZQYyYg74nU35VjVGvDP1qj2zAeuC6EdZVSow2g&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtnaMfVna4ajQlxeotGEOYpbMoDvn6J4OR16zo6OItugj7vXrBjfnyg6YZeEE&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHtgn2Enk8rpHSSnBp9twFldsjSSxdzO787sz5tp_MehsRHdCaNV-w_Myq0XQ&s
self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOwvoGjy3IWRGmK9n6LSXDTF-DlNJYBcAhgt3RaPo9EqZPe4Rj4ylMyGCZyg&s
