,Emotion,URLs,color
0,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOl9F8ab8TE8pcyQk2-0fNTyZ6AVGORe-CpQ3qEpnlfFHxbg29OaI-Qrmumw&s,"(52, 54, 57)"
1,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAG_FR9AemsR23IOn82fo2c_lsUt3W34hWJKQ8T6mGs2jJQTIqPm_7XA8b6DE&s,"(86, 108, 131)"
2,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVCXfE7zcPsocdwZQ7kwoOCjQ6PokYArBd0aF76pCodkmvw_aFOjsCcsLN3Ks&s,"(217, 202, 194)"
3,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_hI9kCekWvl3X_e1Z4YnKLP6FiZfI15HfyOvGOXRM18oGV9ny4p3OzjSaUg&s,"(56, 50, 56)"
4,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1rl_N2lmLoAjgQBjZUFmYu8SBwk43tm6T2olKJD5wZ-qetLlPN_3yVmM-vQ&s,"(231, 213, 131)"
5,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLUXyrV549rZWWuFoRMFjyP7iwQTLdLbZPTXxOAGd65WFxFBOAED7wFCT9sQ&s,"(181, 130, 81)"
6,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSem3M1U-cvmfJ01lxbj7s9EWWnE4xj-JcDromTv8tRUtN0l2PFZBNoKZN99w&s,"(46, 28, 11)"
7,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWYVbQg7rE363j6kllXbmwZQYyYg74nU35VjVGvDP1qj2zAeuC6EdZVSow2g&s,"(177, 159, 172)"
8,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtnaMfVna4ajQlxeotGEOYpbMoDvn6J4OR16zo6OItugj7vXrBjfnyg6YZeEE&s,"(208, 220, 224)"
9,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHtgn2Enk8rpHSSnBp9twFldsjSSxdzO787sz5tp_MehsRHdCaNV-w_Myq0XQ&s,"(244, 236, 87)"
10,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOwvoGjy3IWRGmK9n6LSXDTF-DlNJYBcAhgt3RaPo9EqZPe4Rj4ylMyGCZyg&s,"(223, 225, 217)"
11,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRClt8Xrwaf-QrfX3pXoPEOZ_NYgijm26wrCDY5tXFvSWxEHigPiXK7bU1yxg&s,"(38, 41, 47)"
12,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqaaEeHFnc3pkzlM85MfR35KJNsqrd0EMMsTxTZnE7AavCG3wKJc71Edcl23Q&s,"(195, 144, 81)"
13,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShm0jN5j5MfIv9xTTRQmE6DzoosiNs4XGoGUS-2Xw-SCaR670LJmCpIdPQuw&s,"(55, 55, 55)"
14,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTL_O_bhWcpvHHdBVEsKu96ZZszSo5SV0mMxKO62bl6izvSyUpFARCCMdV4OA&s,"(57, 57, 63)"
15,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4GuZ9gJvY8qTGBd68-Cdd8wHIs51cB6HIf4e3csuEvLqa40H6w-spPX1rsA&s,"(217, 191, 146)"
16,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvl6bU062WHxOisOGRyrrJrE22AfENFQUIqihm7-02MxqHRrmfJtMkqb6kZfg&s,"(227, 156, 77)"
17,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxpMIY7ZTyPC1PfHH0aJ1q_EWooq6nKb_5RxVGf9tYdwcCx5Gyt4E49F4plQ&s,"(228, 200, 190)"
18,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOYw-tr6wznNxU1YIzr7MqjSTDvNK9I-BBIUeys1Z6EdYowe1JFbRyLKKIlQ&s,"(196, 190, 191)"
19,self-pity,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTn9MblQ8rBThqVGT12IL9sjzl58-ezGqEZnkXITI_URH6hTU0tfSWWw-4kg&s,"(6, 6, 6)"
20,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRyYJHpgcOSC9KGU9QBo1gjDljuSijOk6ovwebToxu0BZA89w4_tZr8t71qQ&s,"(11, 6, 8)"
21,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPnT9ho7l7_MNLLYeIBnYdX4x-LiSjXP3Sifs5_JoG8cLRCdkF8UVDAOhfHQ&s,"(54, 18, 68)"
22,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnVYATSS2HOSAEYqqF2HHySYAFS2B7zNHRoO3U8jfKf_bpFH7RUihSgPmUaoA&s,"(62, 21, 74)"
23,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3teoJE2KwOUQi9OOrqC9PO3VOGEGrR3Y_9yTRDc2AL_806If2falp_4QE9Q&s,"(7, 5, 6)"
24,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZFkBE6aGk0eSTyoij6kwQ1iWn17deTY2vJcVdE7KIzfLYHTOeZFOkxS1v8Q&s,"(60, 59, 63)"
25,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzFESwGJB59Ca9B7XzJBtYzWjPJOyaZUMam8UNFF6i7NhSCXzK0MEr-6THgw&s,"(23, 15, 24)"
26,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3U-jZoWde_8NlN3uH7ysRTZ-sq1ZS6BhUFTEWM8xC_8YS9AhF9GhYpl4CvA&s,"(201, 175, 166)"
27,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl_lgeBMsfvkPZE7AigP3A_sUmEHdbsmf0QEO7Kpl42V-ZRehDHolEIcmL-lM&s,"(69, 57, 51)"
28,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdTIr2kLWx77fRDXYL1MAcjzBdXgenBHme9TqhGTiNLTyRRLgcvc95g-nqIDU&s,"(27, 27, 27)"
29,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_4pSCknQCijXlIi0wdh2vuC76FpQ_P3pakN5dZVPYOkWovuFYIZyZnqFRFY&s,"(21, 14, 20)"
30,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYswLWSe1cJTKoE5qhDscOKWwk54eqWBjTr5k70y_j35HZ_T7G1OGerZ1YGg&s,"(38, 10, 30)"
31,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRanRI-_XUjRBU5KdI7Uau6VfcTUZdmq9nx9uliNe9SKBK9vYCrhbR2J_Yhhw&s,"(47, 34, 49)"
32,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQf9bUwSBQFB1Un0luxQLuFQK9ktoZV_Ow9WTD2ZVnl7Rv7oyCxjllw78Pxg&s,"(189, 146, 123)"
33,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4xOR3D431VeVV7vo883nl6tyQNBxr_UVTtyEbhqiKu9Nl--Wsr3YgdvUvZcQ&s,"(201, 174, 158)"
34,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeCcSC3JB1j99IEMHMt8ERWB51h6vhYzBDxitlKqDUBqAuKlCJ40bLYgR6oA&s,"(55, 50, 60)"
35,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcvVxNEnt8hE6fGebrmKHpvr0SknLi2UHl6QW0JxQmFyHS2yoObYfO3yoK4jI&s,"(63, 53, 46)"
36,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBVRkQLCwyYXh9FHnuFgDIjL1I9YQ_zRksoQwuhgrvhzlII_oyus0Zeem9OXI&s,"(189, 233, 196)"
37,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNF3HAmwoUz13t7EiQe4ZPG5W8NQp2K0hoG8I8K6BcLYXDvfOGZlVVQcsLVw&s,"(18, 12, 19)"
38,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqoh75xTUob9IGNjh23RXxsfaRkALnEsp58OX4SB_7IaxSUn_lG_AoWSQUgbY&s,"(176, 108, 109)"
39,ruthless,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzcbPWPiRE6SzI0nEhLiZbS0Blrm2mll9PzAHOqDwfTylgCpiOukMNeJ6jrkk&s,"(174, 154, 150)"
40,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-EJiXsvvlXdxW2DcKy_v4nNCN78rUbGNyLChA-7hvmGrdwPhjfUGnej-RWg&s,"(148, 153, 136)"
41,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGa0u0f8GaAX4IgQHs4esjvKXZl_WpRQRfSnQvQTRbZdCgoeErKdwR-INtEQ&s,"(110, 86, 65)"
42,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMk161_6N4xki5nXf5PELhlKBkN_tP3MyStWoJvROENlxAPfeiBTHzFrjvVw&s,"(217, 206, 189)"
43,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyCtkUG4tZ6Ndd8ZcHbHHAC21HRTUp7QMFohfPT0t4QeXk9Nd8FKT2g7vWAg&s,"(219, 210, 206)"
44,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJKlqr7FQPhWTFIMBNPnUMoqWDIsfOboSDPoJ-CYnjz6MijJJigkWFu0uPJA&s,"(125, 151, 177)"
45,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6T9Cyh05yyw23AgJn-roREJenGi9AyCHVydre4FHSX4VZ1Aju6c9nFF6F5w&s,"(188, 188, 199)"
46,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpBchIeDFeCd5iN3RNc2-8ymg5frJYsXMyykpIewzpZCjL5cMzdddIms2wFw&s,"(172, 173, 156)"
47,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShiQ9B6rTsN9GB-NF_DODuPpIHG1xNnNmfDSFrwPfueNjH1DJlK3HsBa79xRo&s,"(186, 156, 132)"
48,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUTMmqPvEbDdcVKoVyIfgmx1uXRBMZQqW1E60NHXclhmxWsP-Kn6CnuQ4NIrI&s,"(217, 128, 125)"
49,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuyBVrVTjPjcWDSFZF5LHcNZ_6mMZBVzu51I-1uhJSg-NO0ushiAqIKu0axg&s,"(184, 172, 161)"
50,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-vQfFjjkEmdtwPs4EMiA3y7NQqdQ-Y1ELiUeZCb2ed71tkCaOXCqTwQo3l9M&s,"(98, 143, 178)"
51,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNH9OdHj4VDU7LsgQYWjK-WWED5oRCq-jQZDmNt69e-OEpuZAlEyg6WMEq284&s,"(203, 203, 202)"
52,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNQssG0fxEaXOESgcBEGEW0GIwBNcOpqhvJCTnOWLFJkEsOgUm5gCPbEZdwOw&s,"(162, 125, 92)"
53,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR0bknebNTSyscnSEWDizyw-pvrYsUEXhVsxDbuMFF83clntmAT4u0omEB8g&s,"(180, 186, 186)"
54,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx10PFmljhHaPJpX2kFvVfkokN-sNMOmdw832TGxV4eGzZUJDaz7qoG45p_V8&s,"(221, 220, 204)"
55,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnaBw-T-PgKohG9vWWISeApgu-4WfEv27rw7aFYIFJo17ioalBF1G-K55BlUY&s,"(231, 226, 224)"
56,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmSF8U9MxwHBR8rQq4NyslSk84JLzuoEDaeIvytDIL7vriZrrHR__fZrCCGPY&s,"(192, 187, 180)"
57,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoY71fBlhpdyTEM766_ZvSZ7pAYp6Z055FrZtS7s8GBrHLlN3Pj_zLhL3PKg&s,"(70, 70, 66)"
58,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrikKYfDdk7eux2vw0QQ1G30qU5MkGxbBtB6lpqxaJOqTkg4ZWRC88iZYArA&s,"(139, 203, 224)"
59,lazy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSytWdh5MMecnmv8reeDq6NEr8Gbw2GbRvuh5P0jZSxM1A10jQyWnZ8s2Saw&s,"(187, 187, 181)"
60,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn9m1SNVhR8XeOkNQgRmR00i_MzxwtPdAm4ymuiZyZHn7cEnvuUKi-fbtYdBQ&s,"(186, 160, 132)"
61,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvvJVkUIDpTy5G8JxMJtfSx_5CnSSKc9FLRm4UztRoAVmCpl-3u_ESnc7TAGc&s,"(182, 185, 187)"
62,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCYrClG-SQs_u2XdIKEuSWpq9cgspQdWby_jGx3_tVrLvtqTeDsBQXD3DfUCk&s,"(180, 172, 169)"
63,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHeNjM2Qxi4tvtXLfrpQglap0Z1WmIhQBt5mIyunjMPjImgAXUUsb-nNVIzA&s,"(203, 207, 209)"
64,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoD26bIERkwTmjk2whoOHn1Q4dMiX9CcmlYhQkD1mNqQV9A3PCBhjMOFp0fg&s,"(193, 198, 196)"
65,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0IkYwvcG3vwkeesO50GiF9SBRkGf0ePdiYnkZl69rIH-gm9abZ4-psBIAHFE&s,"(29, 29, 29)"
66,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXqTwSd4UCr1wZm5CZdibXwqXDF2dUeLQQJVfk6C1v3N8vvLh-_e5IunAvlg&s,"(14, 14, 15)"
67,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFys1U9O8iLn0k-W2x2avjn1WNPLfCGmnCSeik0N6aVSWrUKU3L-FzdM3SJbY&s,"(24, 24, 24)"
68,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJfIU_pXxgFW9PdX8KtHVh4VcLgy_j901ScI8LBc_qhYmED5KcOSyRxIHxnA&s,"(12, 12, 12)"
69,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe8_L6-psxoceF8SR4Q2p-oYd80Q6ZIc97Qrm78TgKd9kHKne6o6t8fXxRxZM&s,"(164, 164, 164)"
70,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTryLx4K57hFFg1Y_ogK0eCIwPY9v9DynFTyaK5wUFs_WUy3e8wfjG0U-D59h8&s,"(44, 44, 44)"
71,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzK0FEVgcDreftjx-3vSBDz3WbVhrym_C3LsymWj3JK5B9Us07oOY4gK23aXk&s,"(152, 145, 139)"
72,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZgWe9a3dHOy_72sYl935701VWMh5G1rR42tjYMHS3PHvMfAwOL6eVTU246w&s,"(9, 9, 9)"
73,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUjd6_IXPMF-Y58Xfug92qpsPgVRapd6NDtUfss8ipM7NFAwXTSiR2QWOlzQ&s,"(9, 8, 10)"
74,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLBjlJD3r2-J7sngyVBlSs1LSFMgz00IH4Vcpw13byU57Q8qwTJmY-USqx2Q&s,"(53, 65, 47)"
75,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbBNtQkdYzuqWHGo2_dWgSKJvkRzrMGG_epXFzefwCn-bQ5N6cbdsC6syieA&s,"(244, 231, 209)"
76,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3gD1OSDDiMyPZSMZzRCf0fXhm4NbsqKd3SMEJpUM1bavdUlKjwes3o_JMIIc&s,"(202, 203, 220)"
77,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJaF7k9GamnpJbiHcAfs4S1XgghqqHVT0vS3Ddz7_-FMK0X_6ohwqeWhRudA&s,"(39, 36, 38)"
78,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcg4Mgdbq-pot8vOSNeeG_xsUkgg5CohLoK5r88lepbr9QSiQGxVTP4FqxpQ&s,"(46, 33, 26)"
79,dejection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJQAxdE0lx6GzcH-IeXuf8RlC7UdblAUzNicQRE4SCvSLkmaIOGkQ1i7WkqE0&s,"(18, 18, 18)"
80,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu6ogmA3obKl8e_SRhuPDhLTGtnUxytGovNB0RS10tuELUHxSoQWXFZl8xlmE&s,"(185, 32, 36)"
81,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeMm5B6eKcWOOfeqfRrqud5jfkbT0UKnFk5QyG9hQulcplYKSKWODjkyxOizI&s,"(26, 25, 24)"
82,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNUP2ckRIfIv5fAtUGr3cte9uG-6TGlVqxxp0IS4TWdWK9oXaaPwLGY9QOoQ&s,"(24, 8, 8)"
83,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_Rn0LCAud7nxhLY83MVOH_Gj9sf76CP-tIXbptTjw8Lq4-TKtwALKLFevcTg&s,"(30, 26, 21)"
84,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiPTH2gHBWlMw7qG3YFZqwrJfxSk66PjDGhcgYQGGT7j5cBP4LGTLwQsojooc&s,"(22, 26, 32)"
85,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7h1p3FHlcav5zsZ2ljzC3xB87oS2Q2EhdpiFc9gzdqgm6QqJ2VYBEISwuLg&s,"(35, 47, 83)"
86,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmG1_zhdO5K-x_cJDT5DAdVniZ41KkT9Wfh2otUwLKzjxMupe_t9c1hhhTpSY&s,"(36, 16, 17)"
87,vengeful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ8lrlJahGf6Nigib8JNafvVWgqITswbPXe8uPa_H9WMprpAUIz1iA8aByYg&s,"(24, 27, 35)"
