,Emotion,URLs,color
0,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBYKLuyoTRaeTgpooQGn43mgTmssdcrxciT39OYkH2F3Hkv3QJ_J3r2H5G08c&s,"(147, 87, 110)"
1,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8cCqTUOSa-8waID02O0WhorIlNrpRVPZEKlMNkNldvIWWcJf72leQagA8bw&s,"(231, 193, 171)"
2,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIJLnFzTk4bmMycmPai6CYVuitSCzkO3gaqm9aEUPpT1usvZmpvAiI5lGuRA&s,"(201, 196, 190)"
3,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0fLoijl22yp81rb62Mp9F3UcbxYwHoJGJZyG2is3iK8I3gnWvcm2wRH8Bfg&s,"(63, 44, 41)"
4,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEJgBiuV5y2s7H9AMlEIOXIl0xaB038GzBoAe2GiGAZHl07Vuks36ltL3ZIr4&s,"(73, 64, 65)"
5,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-8-BAP8DOH_cyd7lsztkcEYAcUmTUbWgBLgM1zW0bJ6qwUJ6elgTkyY3Kq4E&s,"(126, 98, 79)"
6,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNz7EBb8sq2HG_mQA4CX65hOBPSXrYzMHVWsAFUx-f4tZC7_9NsEHJadmOkA&s,"(233, 211, 200)"
7,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6UA9PwYGjAYMLbdpqpRs9zxddvsg5p1xnO7pHfrtkfYx1qsidGbVMCDLCUg&s,"(188, 150, 118)"
8,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSn8dWp6L30Q94eZ3kfwZo2DtmjHnCyS2pRHkaZ3CMVtu2BzpHarDTph70G1A&s,"(245, 207, 194)"
9,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWE7uLI3iJAnJXotH1Pj0aSGx_3xO7gxwohFsgDwGS1F74augX6EBHat_4d4I&s,"(240, 194, 178)"
10,affection,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxmh1mSksvzn432WA_TgH5tXzKXXtNxiiGQ4WgGQ32wqpRV7suSZXkxcMSEQ&s,"(42, 25, 22)"
